readout_gene,readout_class,replicate,assay,target_gene,day,shrna,bias,num_reads,cell_density,extra_umi
Tmem104,BAE,1,no-UMI,Ctcf,7,A01,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Rnf2,7,A02,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Ehmt2,7,A03,NA,0,GOOD,
Tmem104,BAE,1,no-UMI,Parp1,7,A04,0,1,MED,
Tmem104,BAE,1,no-UMI,Parp1,7,A05,1,1,LOW,
Tmem104,BAE,1,no-UMI,Zfp57,7,A06,0,22,GOOD,
Tmem104,BAE,1,no-UMI,Atf7ip,7,A07,NA,0,MED-GOOD,
Tmem104,BAE,1,no-UMI,Hdac2,7,A08,0.985380117,344,GOOD,
Tmem104,BAE,1,no-UMI,Kmt5a,7,A09,0.333333333,3,LOW,
Tmem104,BAE,1,no-UMI,Suv39h1,7,A10,1,1,MED,
Tmem104,BAE,1,no-UMI,Smchd1,7,A11,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Sirt1,7,A12,0.891625616,406,GOOD,
Tmem104,BAE,1,no-UMI,Atrx,7,B01,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Rad21,7,B02,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Eed,7,B03,0.5,2,LOW,
Tmem104,BAE,1,no-UMI,Hdac1,7,B04,0,1,MED,
Tmem104,BAE,1,no-UMI,Dnmt1,7,B05,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Eed,7,B06,0,1,MED-GOOD,
Tmem104,BAE,1,no-UMI,Rrm2,7,B07,0,2,MED-GOOD,
Tmem104,BAE,1,no-UMI,Atrx,7,B08,1,1,MED,
Tmem104,BAE,1,no-UMI,Dnmt1,7,B09,NA,0,GOOD,
Tmem104,BAE,1,no-UMI,Sirt1,7,B10,NA,0,MED,
Tmem104,BAE,1,no-UMI,Parp1,7,B11,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Hdac2,7,B12,1,1,MED,
Tmem104,BAE,1,no-UMI,Smchd1,7,C01,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Ehmt2,7,C02,1,24,GOOD,
Tmem104,BAE,1,no-UMI,Rrm2,7,C03,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Rrm2,7,C04,0,1,LOW,
Tmem104,BAE,1,no-UMI,Smchd1,7,C05,0,41,GOOD,
Tmem104,BAE,1,no-UMI,Rrm2,7,C06,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Kmt5a,7,C07,1,1,LOW,
Tmem104,BAE,1,no-UMI,Luciferase,7,C08,0.2,10,MED-GOOD,
Tmem104,BAE,1,no-UMI,Dnmt1,7,C09,0,1,MED,
Tmem104,BAE,1,no-UMI,Dnmt1,7,C10,1,1,LOW,
Tmem104,BAE,1,no-UMI,Rad21,7,C11,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Ring1,7,C12,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Ehmt2,7,D01,0.76,226,GOOD,
Tmem104,BAE,1,no-UMI,Rrm2,7,D02,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Ring1,7,D03,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Kmt5a,7,D04,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Ehmt2,7,D05,0,1,LOW,
Tmem104,BAE,1,no-UMI,Ctcf,7,D06,NA,0,LOW,
Tmem104,BAE,1,no-UMI,Suv39h1,7,D07,0.333333333,3,GOOD,
Tmem104,BAE,1,no-UMI,Atrx,7,D08,NA,0,LOW,
Tmem104,BAE,1,no-UMI,GFP,7,D09,0,409,GOOD,
